A00001,香港聯合交易所期權結算所有限公司
A00002,中國證券登記結算有限責任公司
A00003,中國証券登記結算有限責任公司
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING
A90003,CHINA SECURITIES DEPOSITORY AND CLEARING
A90004,CHINA SECURITIES DEPOSITORY AND CLEARING
B00001,CONCORD SECURITIES CO
B00008,D. J. INVESTMENT CO
B00013,NORMAN KONG & CO
B00026,GOLDEN SEA CO
B00029,HONG KONG SECURITIES CO
B00040,SOEN TAK CO
B00043,LUEN SING & CO
B00045,HUNG CHEONG SECURITIES CO
B00047,BOWIN INDUSTRIAL CO
B00048,T. W. CHEUNG & CO
B00054,CHU CHUNG TIN
B00055,TAT LEE SECURITIES CO
B00067,KUENTAI SECURITIES (KAM NGAN) CO
B00070,YAN YAN INVESTMENT CO
B00077,TRUTH & CO
B00081,KWONG HING CO
B00084,WAH SANG SECURITIES CO
B00089,HWA LAM CO
B00097,WINNING & CO
B00100,T. W. SABNANI & CO
B00105,TAFONWORTHY INVESTMENT CO
B00106,SO KWAN NANE & CO
B00110,WING ON SECURITIES CO
B00112,MAN LUNG CO
B00115,TUNG TAK & CO
B00116,LLOYD STOCKBROKERS & CO
B00126,FOREGROUND SECURITIES CO
B00127,POWER SECURITIES CO
B00128,KAM WAH SECURITIES CO
B00129,ZIAR & CO
B00135,WORLDWIDE SECURITIES CO
B00147,NORMAN & CO
B00162,FAT LEE CO
B00163,KO KUN STOCK CO
B00164,KO'S BROTHER (SECURITIES) CO
B00167,LAERTES SECURITIES CO
B00169,KWOK CHUNG CHUN SECURITIES CO
B00173,YING HO STOCK INVESTMENT CO
B00175,LAU & CO
B00180,LEE SIN CHAI & CO
B00181,SIU ON STOCK INVESTMENT CO
B00183,LEE YUE LIM SECURITIES CO
B00195,LING CO
B00198,WADER INVESTMENT CO
B00201,WEALTHY INVESTMENT CO
B00206,SUNRISE INVESTMENT CO
B00210,GOLDEN HILL INVESTMENT CO
B00212,ALEXANDRA STOCK CO
B00218,R. YU & CO
B00219,KA YUE INVESTMENT CO
B00223,YUEN HANG INVESTMENT CO
B00225,MAN YING & CO
B00228,HANG YUE SECURITIES CO
B00229,TUNG SHUN & CO
B00230,KIN FUNG STOCK CO
B00232,HOI SANG CO
B00233,UNICORN SECURITIES & CO
B00235,Y. F. CHAN & CO
B00244,KUO PO INVESTMENT CO
B00250,TRIPLE A & CO
B00257,SWIFT STOCK INVESTMENT CO
B00262,SZEHOPE & CO
B00272,EVERGREEN SECURITIES CO
B00275,CHENG YAM ON & CO
B00289,GENERAL STOCKS CO
B00293,AUDREY P. F. CHOW & CO
B00295,Y. C. CHOW & CO
B00303,ASIAN PACIFIC INVESTMENT CO
B00310,HEAD & SHOULDERS CO
B00318,HOP YICK STOCK CO
B00320,RAMON INVESTMENT CO
B00321,WINFIELD SECURITIES CO
B00322,YING WAH SECURITIES CO
B00326,LUCKY CO
B00335,HING LUNG CO
B00338,HUI KWAN KWONG & CO
